"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3011A35","초평천","2022/01/06","1회차","127°31'17.6""","36°50'42.5""","15:19","13.3","0.4","2.9","1.455","0.005","1.7","0.9"
"3011A10","칠장천","2022/01/06","1회차","127°27'9.37""","36°58'16.91""","14:03","12.1","3.0","3.8","8.240","0.086","4.8","5.2"
"3302A45","고부천1","2022/01/07","1회차","126°45'35.9""","35°39'32.5""","10:45","13.8","1.9","9.3","6.105","0.110","3.4","39.3"
"3302A50","고부천2","2022/01/07","1회차","126°47'15.9""","35°43'38.9""","10:25","13.8","1.6","8.7","6.024","0.137","3.5","12.0"
"3012A20","공주1","2022/01/07","1회차","127°7'27.58""","36°27'59.19""","11:10","13.7","1.2","5.9","5.433","0.027","3.8","2.7"
"3011A60","무심천2","2022/01/07","1회차","127°29'1.82""","36°38'8.85""","15:48","15.1","1.7","3.1","3.106","0.048","1.8","5.5"
"3011A45","보강천2","2022/01/07","1회차","127°34'20.86""","36°47'1.91""","10:33","13.7","1.0","8.0","3.644","0.066","2.0","10.6"
"3008A10","옥천천","2022/01/07","1회차","127°33'17.4""","36°19'42.2""","10:45","14.7","1.7","2.8","2.668","0.016","1.1","0.8"
"3302A07","용호천","2022/01/07","1회차","126°53'35.6""","35°40'47.6""","10:08","12.9","2.8","7.2","4.567","0.048","2.8","10.9"
"3011A90","월하천","2022/01/07","1회차","127°17'17.5""","36°34'14.4""","10:40","14.3","0.3","2.1","2.633","0.043","1.1","4.0"
"3302A25","정읍천1","2022/01/07","1회차","126°52'22.8""","35°33'1.9""","12:15","13.5","0.5","1.9","2.420","0.013","0.9","0.7"
"3302A30","정읍천2","2022/01/07","1회차","126°50'20.4""","35°34'12""","12:50","13.5","1.3","3.4","4.145","0.016","1.7","1.3"
"3302A33","정읍천3","2022/01/07","1회차","126°49'38.6""","35°35'2.8""","11:15","13.0","1.4","3.8","3.099","0.022","1.9","3.4"
"3302A32","천원천","2022/01/07","1회차","126°49'38.6""","35°34'15.6""","11:40","13.6","1.0","4.3","3.207","0.021","2.1","6.2"
"3203A40","웅천천2","2022/01/10","1회차","126°35'46.6""","36°13'29.3""","10:32","13.1","0.5","2.7","3.070","0.015","1.3","1.4"
"3009A80","갑천7","2022/01/10","2회차","127°23'59.87""","36°27'13.72""","11:00","11.8","1.5","8.4","8.398","0.096","5.9","2.5"
"3012A20","공주1","2022/01/10","2회차","127°7'27.58""","36°27'59.19""","11:20","13.8","1.2","6.0","5.216","0.035","3.9","2.5"
"3012A32","금강","2022/01/10","2회차","127°6'.1""","36°27'52.7""","10:30","13.5","0.7","5.6","5.161","0.029","3.7","3.4"
"3008A40","대청댐","2022/01/10","2회차","127°28'35.5""","36°22'16.2""","13:50","10.9","0.3","3.8","1.228","0.011","2.5","1.2"
"3011A97","미호강10","2022/01/10","2회차","127°19'8.29""","36°31'29.17""","11:10","13.1","1.9","7.0","7.746","0.045","4.5","3.1"
"3010A20","부강","2022/01/10","2회차","127°21'49.14""","36°30'59.78""","11:30","12.5","0.7","5.2","3.882","0.029","3.4","2.3"
"3012A42","부여","2022/01/10","2회차","126°56'39.9""","36°19'19.5""","10:50","","","","","","",""
"3302A70","신평천","2022/01/11","1회차","126°48'19.2""","35°48'3""","10:00","17.8","4.5","10.6","6.408","0.041","5.6","9.3"
"3302A60","원평천2","2022/01/11","1회차","126°48'40.3""","35°46'3.2""","09:50","14.4","2.0","7.0","5.303","0.078","3.7","22.9"
"3101A60","곡교천2","2022/01/11","2회차","126°56'2.2""","36°49'17.9""","11:20","10.4","3.4","8.7","8.480","0.139","5.5","3.6"
"3012A30","곰나루","2022/01/11","2회차","127°6'39.64""","36°28'27.75""","09:40","12.8","1.2","5.6","5.016","0.018","3.1","3.4"
"3012A40","공주2","2022/01/11","2회차","126°59'13.8""","36°20'31.3""","10:10","13.7","1.3","5.4","5.141","0.025","2.8","6.4"
"3301A55","김제","2022/01/11","2회차","126°57'24""","35°54'24.5""","12:30","12.9","2.4","8.5","10.319","0.086","5.7","11.4"
"3013A50","논산천4","2022/01/11","2회차","127°0'38.2""","36°9'57.3""","12:30","14.9","1.0","5.0","5.921","0.278","2.9","4.3"
"3302A40","동진강3","2022/01/11","2회차","126°49'2.7""","35°43'2.9""","11:20","15.2","1.0","5.1","3.418","0.051","3.3","9.1"
"3012A60","부여1","2022/01/11","2회차","126°53'32.8""","36°16'32.6""","10:35","14.4","1.0","4.8","5.085","0.019","2.9","1.6"
"3012A70","부여2","2022/01/11","2회차","126°56'56.1""","36°14'39.1""","10:55","14.6","1.0","4.7","4.858","0.021","2.7","2.3"
"3012A80","성동","2022/01/11","2회차","127°0'12.73""","36°10'22.52""","12:20","15.4","1.8","4.9","4.735","0.038","2.8","12.7"
"3014A30","양화","2022/01/11","2회차","126°52'24.13""","36°6'27.13""","11:50","16.5","2.6","6.0","4.200","0.051","3.0","8.5"
"3101A30","곡교천1","2022/01/12","1회차","127°7'36.85""","36°45'8.02""","12:20","","","","","","",""
"3302A05","동진강1","2022/01/12","1회차","126°58'42.1""","35°36'57.9""","10:42","13.5","1.0","2.6","1.569","0.015","1.8","0.6"
"3302A10","동진강2","2022/01/12","1회차","126°52'4.23""","35°40'58.97""","10:23","13.5","1.0","4.0","2.059","0.021","2.1","2.3"
"3302A55","원평천1","2022/01/12","1회차","126°55'6.9""","35°44'48.3""","10:10","13.4","1.0","5.1","5.621","0.036","3.3","2.3"
"3013A80","강경천","2022/01/13","1회차","127°1'29.46""","36°9'44.46""","12:30","14.2","1.3","4.0","6.727","0.260","2.0","5.3"
"3301A05","고산","2022/01/13","1회차","127°13'1.5""","35°58'27.7""","09:50","14.4","0.5","2.3","2.005","0.005","1.3","0.2"
"3013A70","마산천","2022/01/13","1회차","127°3'19.77""","36°7'7.14""","12:45","13.4","1.8","3.8","5.977","0.259","2.2","5.6"
"3007A50","보청천4","2022/01/14","1회차","127°41'25.4""","36°17'36.8""","10:09","14.5","0.4","2.1","1.957","0.009","1.1","0.9"
"3301A45","삼례","2022/01/14","1회차","127°4'3.2""","35°53'54.4""","10:25","11.7","1.9","8.6","14.190","0.064","5.5","5.4"
"3006A20","우산","2022/01/14","1회차","127°40'27.2""","36°16'39.8""","10:18","14.5","0.4","2.6","1.969","0.007","1.4","0.8"
"3006A10","옥천","2022/01/14","2회차","127°38'44.8""","36°16'59.6""","09:45","14.1","0.6","3.1","2.161","0.011","1.6","1.0"
"3008A60","현도","2022/01/14","2회차","127°27'9.78""","36°26'56.95""","10:59","11.3","0.4","3.4","1.291","0.012","1.9","1.0"
